setting,arm,rep_index,seed,model,n,p,sigma_a,sigma_e,beta_preset,alpha,lam_requested,algorithm,norm,k,true_k,snr,mse,pe,topk,nnz,time,lam,algo_rho,algo_gamma_rule,algo_gamma1,algo_growth,algo_f_tol,algo_min_iter,algo_max_iter,algo_weight_clip,algo_admm_rho,algo_admm_max_iter,algo_psd_floor,algo_ridge,algo_refit_thresh,n_reps_in_file,homotopy_iters_last,runtime_sec_file,source_file
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,43,43,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,9.36292471289154,6.4121153226333885,0.0,10.0,21.64950574899558,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,44,44,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.75273619700348,5.269631571809975,0.0,10.0,21.31817734905053,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,45,45,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.072923415061148,5.13511374857467,0.0,10.0,22.075833177077584,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,46,46,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,5.760597726227415,5.282057173635466,0.0,10.0,21.85025834105909,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,47,47,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.757794607319157,5.500654746007811,0.0,10.0,21.32507218804676,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,48,48,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,9.677403966767256,7.990173483656778,0.0,10.0,22.26338224497158,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,49,49,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.904860313067325,5.705675516954089,0.0,10.0,21.92370840802323,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,50,50,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.859503362076613,6.295428842612243,0.0,10.0,21.379782196017914,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,51,51,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.532996227142576,6.016169635069946,0.0,10.0,21.479968208936043,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,52,52,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,10.198289641426681,8.60176488223144,0.0,10.0,22.49200412805658,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
